idMeasure;dtDate;nmActivePower;nmAmbientTemp ;nmControllerHubTemp;nmControllerTopTemp;nmFrequency;nmGeneratorSpeed;nmRotorSpeed;nmWindSpeed; nmPressure;nmNacelleDir;nmNacelleTemp;nmProduciblePower;nmProduciblePowerVestas;idDevice
31;01/10/21 05:10;214,4714813;21,00003433;36,00006104;32,00005341;50,01054001;700,163208;6,212882996;3,941760778;246,3645477;65,79277039;33,00005341;179;213,5068512;157
32;01/10/21 05:20;132,2199402;21,00003433;36,09999847;32,00005341;49,9986763;699,5776367;6,207495689;3,845359564;247,5708618;64,09999847;33,00005341;179;132,8518982;157
33;01/10/21 05:30;145,8936005;21,28986168;36,40011597;32,00005341;49,99962616;699,5977173;6,214996815;3,665178061;246,2317963;66,35754395;33,00005341;98;145,1458435;157
34;01/10/21 05:40;115,3445892;22,00003624;36,20001984;32,00005341;50,00379944;699,8438721;6,217490196;3,602420092;245,7377167;75,59999847;32,89997864;98;114,4108582;157
35;01/10/21 05:50;82,82106018;22,00003624;36,19999313;32,00005341;49,99845123;700,0785522;6,204999447;3,693140745;246,8389893;84,21118164;33,00005341;98;83,29668427;157
36;01/10/21 06:00;87,11691284;22,00003624;36,09999847;32,00005341;49,99484253;699,6995239;6,2000103;4,149842739;247,0548096;94,85002136;33,00005341;179;87,12238312;157
37;01/10/21 06:10;49,68902206;22,00003624;36,28985214;32,00005341;50,03518677;699,9382324;6,202501297;3,912546635;245,526947;101,0999985;33,00005341;179;49,95163727;157
38;01/10/21 06:20;62,68326187;22,00003624;36,11016083;32,00005341;50,0097847;699,8300171;6,204999447;3,883500576;247,1730804;95,90814972;33,00005341;179;62,82950592;157
39;01/10/21 06:30;60,27967453;22,00003624;36,3000145;32,00005341;50,0069809;700,1665039;6,20250082;3,834543228;245,6530304;94,80000305;33,00005341;179;60,61397552;157
40;01/10/21 06:40;56,04658508;22,00003624;36,00006104;32,00005341;49,97509003;700,3718262;6,202508926;3,848558903;247,9545898;94,80000305;33,00005341;179;56,17971802;157
41;01/10/21 06:50;28,17337036;21,90000343;36,20004654;32,00005341;49,97651672;699,8729248;6,202496052;3,548399448;246,1733246;94,80000305;33,00005341;98;27,81220245;157
42;01/10/21 07:00;3,030992746;22,00003624;36,09999847;32,18986511;50,01012039;672,8065796;5,9759655;3,082248211;246,5619202;94,80000305;33,00005341;33;3,189633369;157
43;01/10/21 07:10;-31,57095146;22,78988075;36,2999649;32,79998016;50,02061462;366,0831909;3,249285698;2,963582277;247,4955139;94,80000305;32,90002823;33;0;157
44;01/10/21 07:20;-24,71600151;22,91016579;36,00006104;33,00005341;50,00851822;461,3765564;4,107583523;2,822672606;246,28125;89,27521515;32,11008453;33;3,225749969;157
45;01/10/21 07:30;-12,08538055;22,09999657;36,00006104;33,00005341;49,99304199;572,0593872;5,083914757;2,416035175;246,1456757;81,19999695;32,40000916;0;1,574161649;157
46;01/10/21 07:40;-31,27004814;22,00003624;36,00006104;33,00005341;49,99921036;348,3113098;3,093925953;2,367060184;247,9570007;81,27754974;32,09999847;0;0;157
47;01/10/21 07:50;-35,71538544;22,58987808;36,00006104;33,00005341;50,00108337;270,4808044;2,402504683;2,066870928;246,2212067;100,9622498;32,09999466;0;0;157
48;01/10/21 08:00;-21,00466537;22,61013222;36,00006104;33,00005341;50,01270676;468,9921265;4,170155525;2,41302824;245,0487671;96,00016022;32,38986969;0;0;157
49;01/10/21 08:10;-25,97225571;22,79999733;36,00006104;33,00005341;50,00513458;430,5803223;3,824187756;2,716973543;247,165451;90,19029999;33,00005341;0;1,55074501;157
50;01/10/21 08:20;-35,12210464;22,40003777;36,00006104;33,00005341;49,9990921;426,7141113;3,784221649;3,07819128;246,8504028;96,51905823;33,00005341;33;21,60124969;157
